question_id,question_text,answer_type,source_column
Q_are_the_subcontractor_bids_bid_tabs_required_to_be_4cc56833,Are the Subcontractor Bids / Bid Tabs Required to be Provided to Owner?,boolean,Are the Subcontractor Bids / Bid Tabs Required to be Provided to Owner?
Q_are_there_any_contract_agreement_specifications_co_7e263fb9,Are there any Contract Agreement / Specifications Containing BIM Requirements?,boolean,Are there any Contract Agreement / Specifications Containing BIM Requirements?
Q_are_there_consequential_damages_on_the_project_07e3d5cb,Are there Consequential Damages on the Project?,boolean,Are there Consequential Damages on the Project?
Q_are_there_general_conditions_requirements_owner_au_501d0389,Are there General Conditions / Requirements Owner Audit Provisions?,boolean,Are there General Conditions / Requirements Owner Audit Provisions?
Q_are_there_liquidated_damages_on_the_project_f041db27,Are there Liquidated Damages on the Project?,boolean,Are there Liquidated Damages on the Project?
Q_are_there_payment_terms_for_retainage_on_fee_192a19a1,Are there Payment Terms for Retainage on Fee?,boolean,Are there Payment Terms for Retainage on Fee?
Q_are_there_payment_terms_for_retainage_on_general_c_97461de6,Are there Payment Terms for Retainage on General Conditions?,boolean,Are there Payment Terms for Retainage on General Conditions?
Q_are_there_project_interim_milestones_da5384b9,Are there Project Interim Milestones?,boolean,Are there Project Interim Milestones?
Q_can_owner_mandate_specific_subcontractors_be_used_9b8ab21e,Can Owner Mandate Specific Subcontractors be used?,boolean,Can Owner Mandate Specific Subcontractors be used?
Q_do_gmp_buyout_savings_need_to_be_reported_to_owner_e4d3c905,Do GMP Buyout Savings need to be Reported to Owner?,boolean,Do GMP Buyout Savings need to be Reported to Owner?
Q_do_we_have_a_precon_agreement_b668e987,Do we have a Precon Agreement?,boolean,Do we have a Precon Agreement?
Q_does_a_subcontractor_award_have_to_be_approved_by__33d15cc4,Does a Subcontractor Award have to be Approved by Owner?,boolean,Does a Subcontractor Award have to be Approved by Owner?
Q_hazardous_materials_imc_is_entitled_to_stop_work_a_8e737d42,"Hazardous Materials - IMC is Entitled to Stop Work, and Recover Cost for Delay for Encountered Hazardous Material",boolean,"Hazardous Materials - IMC is Entitled to Stop Work, and Recover Cost for Delay for Encountered Hazardous Material"
Q_hazardous_materials_imc_is_only_responsible_conten_d0ad3cae,Hazardous Materials - IMC is Only Responsible Content Created by Us or our Subcontractors,boolean,Hazardous Materials - IMC is Only Responsible Content Created by Us or our Subcontractors
Q_how_many_adverse_weather_days_included_in_contract_fcc5bc90,How many Adverse Weather Days Included in Contract Agreement?,text,How many Adverse Weather Days Included in Contract Agreement?
Q_how_many_days_after_mediator_selection_is_the_medi_a3a5b179,How many days after Mediator Selection is the Mediation Session?,text,How many days after Mediator Selection is the Mediation Session?
Q_how_many_days_notice_must_the_owner_give_imc_for_c_823f7a11,How many days notice must the Owner give IMC for CM Termination for Cause?,text,How many days notice must the Owner give IMC for CM Termination for Cause?
Q_how_many_days_notice_must_the_owner_give_imc_for_c_c63c4f31,How many days notice must the Owner give IMC for CM Termination for Convenience?,text,How many days notice must the Owner give IMC for CM Termination for Convenience?
Q_how_many_days_within_approved_application_for_owne_ea73566f,How many days within Approved Application for Owner Payment?,text,How many days within Approved Application for Owner Payment?
Q_how_much_concealed_unknown_hazardous_conditions_no_604b83b4,How much Concealed / Unknown / Hazardous Conditions Notice to Owner Requirements (Within What # of Days)?,text,How much Concealed / Unknown / Hazardous Conditions Notice to Owner Requirements (Within What # of Days)?
Q_how_much_schedule_delay_time_issues_notice_to_owne_b9c53cef,How much Schedule Delay / Time Issues Notice to Owner Requirements (Within What # of Days)?,text,How much Schedule Delay / Time Issues Notice to Owner Requirements (Within What # of Days)?
Q_if_the_owner_is_allowed_to_occupy_building_prior_t_f224a038,"If the Owner is Allowed to Occupy Building Prior to Substantial Completion, what is the Article #?",text,"If the Owner is Allowed to Occupy Building Prior to Substantial Completion, what is the Article #?"
Q_is_a_payment_performance_bond_required_for_this_pr_62c79f18,Is a Payment & Performance Bond Required for this project?,boolean,Is a Payment & Performance Bond Required for this project?
Q_is_imc_entitled_a_pcco_for_owner_selected_mandated_6ae40fe3,Is IMC Entitled a PCCO for Owner Selected / Mandated Subcontractors?,boolean,Is IMC Entitled a PCCO for Owner Selected / Mandated Subcontractors?
Q_is_imc_or_the_owner_carrying_the_builders_risk_pol_eb66818e,Is IMC or the Owner carrying the Builder's Risk Policy for this project?,text,Is IMC or the Owner carrying the Builder's Risk Policy for this project?
Q_is_imc_responsible_to_recover_delay_cost_schedule__e82b2e6e,Is IMC Responsible to Recover Delay (Cost & Schedule) for labor related work stoppage; strike etc.?,boolean,Is IMC Responsible to Recover Delay (Cost & Schedule) for labor related work stoppage; strike etc.?
Q_is_owner_allowed_to_occupy_building_prior_to_subst_ecaf1644,Is Owner Allowed to Occupy Building Prior to Substantial Completion Article?,boolean,Is Owner Allowed to Occupy Building Prior to Substantial Completion Article?
Q_is_pollution_liability_insurance_required_for_this_55e2acae,Is Pollution Liability Insurance Required for this project?,boolean,Is Pollution Liability Insurance Required for this project?
Q_is_precon_reimbursable_beyond_the_agreement_28605b1d,Is Precon Reimbursable beyond the Agreement?,boolean,Is Precon Reimbursable beyond the Agreement?
Q_is_professional_liability_insurance_required_for_t_f16d47e0,Is Professional Liability Insurance Required for this project?,boolean,Is Professional Liability Insurance Required for this project?
Q_is_railroad_insurance_required_for_this_project_3b26eca4,Is Railroad Insurance Required for this project?,boolean,Is Railroad Insurance Required for this project?
