contract_file_name,contract_id,question,expected_type,gold_value,predicted_value,group,score,is_correct,confidence,verdict,explanation,precision,recall,f1,cosine_similarity,token_f1,hybrid_text_score,status,raw_answer,citations
Contract__16.pdf,Contract__16,What is the Execution Date of the Contract Agreement?,date,2025-10-15 00:00:00,2025-06-03,categorical_accuracy,1.0,False,0.0,partial,The predicted answer has the correct year but the wrong month and day.,,,,,,,mismatch,06/03/2025,"['c00080', 'c00113']"
Contract__16.pdf,Contract__16,What is the Contract Type for this Project? (Custom Text Answer),enum,Stipulated Sum,,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer is missing.,,,,,,,mismatch,,[]
Contract__16.pdf,Contract__16,What are the are the Liquidated Damages Terms & Conditions?,long_text,"Liquidated damages for delay paid to the owner, the sum of $500, for each calendar day after the date scheduled for substantial completion of the work until the contractor achieves substantial completion.","The mutual waiver of consequential damages includes damages incurred by the Owner for rental expenses, losses of use, income, profit, financing, business and reputation, and for loss of management or employee productivity or services. It also includes damages incurred by the Contractor for principal office expenses, compensation of personnel stationed there, losses of financing, business and reputation, and loss of profit, except anticipated profit arising directly from the Work. This waiver is applicable to all consequential damages due to either party's termination in accordance with Article 14. However, this does not preclude the assessment of liquidated damages when applicable, in accordance with the requirements of the Contract Documents.",descriptive_metrics,0.1,,0.9,incorrect,"The predicted answer discusses the mutual waiver of consequential damages and mentions liquidated damages only in passing, without providing the specific terms and conditions related to liquidated damages for delay as described in the gold answer.",,,,0.1,0.1,0.1,mismatch,"Mutual waiver of consequential damages includes various types of damages for both Owner and Contractor, but does not preclude assessment of liquidated damages when applicable.","['c00119', 'c00116']"
Contract__16.pdf,Contract__16,What is the Builders Risk Waiver of Subrogation Appendix / Exhibit (Letter or Number) if the Owner Carries the Policy,identifier,11.3,A.2.3,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'A.2.3' does not match the gold answer '11.3'.,,,,,,,mismatch,Section A.2.3,"['c00007', 'c00008']"
Contract__16.pdf,Contract__16,Is Professional Liability Insurance Required for this project?,boolean,No,True,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'True' contradicts the gold answer 'No'.,,,,,,,mismatch,"If the Contractor is required to furnish professional services as part of the Work, the Contractor shall procure Professional Liability insurance.","['c00015', 'c00012']"
Contract__16.pdf,Contract__16,Is Railroad Insurance Required for this project?,boolean,No,True,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'True' contradicts the gold answer 'No'.,,,,,,,mismatch,"Railroad Protective Liability Insurance, with policy limits of not less than ($ ) per claim and ($ ) in the aggregate , for Work within fifty (50) feet of railroad property.","['c00018', 'c00016']"
Contract__16.pdf,Contract__16,Is Pollution Liability Insurance Required for this project?,boolean,No,True,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'True' contradicts the gold answer 'No'.,,,,,,,mismatch,"If the Work involves the transport, dissemination, use, or release of pollutants, the Contractor shall procure Pollution Liability insurance.","['c00015', 'c00012']"
Contract__16.pdf,Contract__16,Is a Payment & Performance Bond Required for this project?,boolean,No,True,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'True' contradicts the gold answer 'No'.,,,,,,,mismatch,"The Contractor shall provide surety bonds, including Payment Bond and Performance Bond.","['c00018', 'c00100']"
Contract__16.pdf,Contract__16,"What are the Contract Documents Definition & Incorporation Definitions, Terms, & Conditions?",long_text,Drawing specification addenda issued prior to this agreement.,"The Contract Documents are enumerated in the Agreement between the Owner and Contractor and consist of the Agreement, Conditions of the Contract (General, Supplementary, and other Conditions), Drawings, Specifications, Addenda issued prior to execution of the Contract, other documents listed in the Agreement, and Modifications issued after execution of the Contract. A Modification is a written amendment to the Contract signed by both parties, a Change Order, a Construction Change Directive, or a written order for a minor change in the Work issued by the Architect. Unless specifically enumerated in the Agreement, the Contract Documents do not include the advertisement or invitation to bid, Instructions to Bidders, sample forms, other information furnished by the Owner in anticipation of receiving bids or proposals, the Contractor's bid or proposal, or portions of Addenda relating to bidding or proposal requirements. The Contract Documents form the Contract for Construction, representing the entire and integrated agreement between the parties and superseding prior negotiations, representations, or agreements, either written or oral. The Contract may be amended or modified only by a Modification. The Contract Documents shall not be construed to create a contractual relationship of any kind between the Contractor and the Architect or the Architect's consultants, between the Owner and a Subcontractor or a Sub-subcontractor, between the Owner and the Architect or the Architect's consultants, or between any persons or entities other than the Owner and the Contractor. The Architect shall, however, be entitled to performance and enforcement of obligations under the Contract intended to facilitate performance of the Architect's duties.",descriptive_metrics,0.45,,0.8,partial,"The predicted answer provides a more detailed and comprehensive definition of the contract documents, which includes the elements mentioned in the gold answer but also adds additional information. The core elements of the gold answer are present, but the prediction goes beyond the scope of the gold answer.",,,,0.4,0.45,0.45,mismatch,"The Contract Documents are enumerated in the Agreement between the Owner and Contractor and consist of the Agreement, Conditions of the Contract (General, Supplementary, and other Conditions), Drawings, Specifications, Addenda issued prior to execution of the Contract, other documents listed in the Agreement, and Modifications issued after execution of the Contract.","['c00038', 'c00039']"
Contract__16.pdf,Contract__16,What are the Terms & Conditions / IMC's obligations for Design Document Review?,long_text,"Contractor has visited site, generally familiar with local conditions under which the work is to be performed and correlated personal observations with requirements of the contract documents.","The Architect will review and approve, or take other appropriate action upon, the Contractor's submittals such as Shop Drawings, Product Data, and Samples, but only for the limited purpose of checking for conformance with information given and the design concept expressed in the Contract Documents. The Architect's action will be taken in accordance with the submittal schedule approved by the Architect or, in the absence of an approved submittal schedule, with reasonable promptness while allowing sufficient time in the Architect's professional judgment to permit adequate review. Review of such submittals is not conducted for the purpose of determining the accuracy and completeness of other details such as dimensions and quantities, or for substantiating instructions for installation or performance of equipment or systems, all of which remain the responsibility of the Contractor as required by the Contract Documents. The Architect's review of the Contractor's submittals shall not relieve the Contractor of the obligations under Sections 3.3, 3.5, and 3.12. The Architect's review shall not constitute approval of safety precautions or of any construction means, methods, techniques, sequences, or procedures. The Architect's approval of a specific item shall not indicate approval of an assembly of which the item is a component.",descriptive_metrics,0.0,,1.0,incorrect,"The predicted answer discusses the Architect's responsibilities in reviewing the Contractor's submittals, which is unrelated to the Contractor's obligations for Design Document Review as described in the gold answer.",,,,0.0,0.0,0.0,mismatch,"The Architect will review and approve, or take other appropriate action upon, the Contractor's submittals such as Shop Drawings, Product Data, and Samples, but only for the limited purpose of checking for conformance with information given and the design concept expressed in the Contract Documents.","['c00068', 'c00060']"
