form_row_id,contract_filename,contract_id,question_id,question_text,answer_type,answer,normalized_at
8,Contract__1.pdf,contract__1,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2023-06-16 00:00:00,2026-01-25T19:55:50
6,Contract__2.pdf,contract__2,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2023-03-03 00:00:00,2026-01-25T19:55:50
3,Contract__3.pdf,contract__3,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2023-05-22 00:00:00,2026-01-25T19:55:50
23,Contract__4.pdf,contract__4,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2025-02-10 00:00:00,2026-01-25T19:55:50
15,Contract__6.pdf,contract__6,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2024-06-06 00:00:00,2026-01-25T19:55:50
9,Contract__7.pdf,contract__7,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2023-08-21 00:00:00,2026-01-25T19:55:50
5,Contract__8.pdf,contract__8,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2023-05-08 00:00:00,2026-01-25T19:55:50
4,Contract__17.pdf,contract__17,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2022-07-18 00:00:00,2026-01-25T19:55:50
19,Contract__18.pdf,contract__18,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2025-01-28 00:00:00,2026-01-25T19:55:50
7,Contract__9.pdf,contract__9,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2023-06-02 00:00:00,2026-01-25T19:55:50
14,Contract__10.pdf,contract__10,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2023-02-28 00:00:00,2026-01-25T19:55:50
24,Contract__11.pdf,contract__11,Q_what_is_the_execution_date_of_the_contract_agreeme_87d300d6,What is the Execution Date of the Contract Agreement?,date,2025-10-06 00:00:00,2026-01-25T19:55:50
