data_type,count,metric,value,result_set
boolean,25,correct_rate,0.36,categorical_llm_results
boolean,25,judge_score_mean,1.0,categorical_llm_results
currency,1,correct_rate,0.0,categorical_llm_results
currency,1,judge_score_mean,1.0,categorical_llm_results
date,1,correct_rate,0.0,categorical_llm_results
date,1,judge_score_mean,1.0,categorical_llm_results
enum,4,correct_rate,0.25,categorical_llm_results
enum,4,judge_score_mean,1.0,categorical_llm_results
identifier,11,correct_rate,0.0909,categorical_llm_results
identifier,11,judge_score_mean,1.0,categorical_llm_results
number,8,correct_rate,0.125,categorical_llm_results
number,8,judge_score_mean,1.0,categorical_llm_results
percentage,8,correct_rate,0.25,categorical_llm_results
percentage,8,judge_score_mean,1.0,categorical_llm_results
categorical_combined,58,correct_rate,0.2414,categorical_llm_results_combined
categorical_combined,58,judge_score_mean,1.0,categorical_llm_results_combined
list,2,hybrid_text_score_mean,0.45,descriptive_llm_results
list,2,judge_score_mean,0.45,descriptive_llm_results
list,2,semantic_similarity_mean,0.45,descriptive_llm_results
list,2,token_f1_like_mean,0.45,descriptive_llm_results
long_text,21,hybrid_text_score_mean,0.1643,descriptive_llm_results
long_text,21,judge_score_mean,0.1643,descriptive_llm_results
long_text,21,semantic_similarity_mean,0.1619,descriptive_llm_results
long_text,21,token_f1_like_mean,0.1643,descriptive_llm_results
text,7,hybrid_text_score_mean,0.3,descriptive_llm_results
text,7,judge_score_mean,0.3,descriptive_llm_results
text,7,semantic_similarity_mean,0.3,descriptive_llm_results
text,7,token_f1_like_mean,0.3,descriptive_llm_results
descriptive_combined,30,hybrid_text_score_mean,0.215,descriptive_llm_results_combined
descriptive_combined,30,judge_score_mean,0.215,descriptive_llm_results_combined
descriptive_combined,30,semantic_similarity_mean,0.2133,descriptive_llm_results_combined
descriptive_combined,30,token_f1_like_mean,0.215,descriptive_llm_results_combined
