contract_file_name,contract_id,question,expected_type,gold_value,predicted_value,group,score,is_correct,confidence,verdict,explanation,precision,recall,f1,cosine_similarity,token_f1,hybrid_text_score,status,raw_answer,citations
Contract__3.pdf,Contract__3,What is the Execution Date of the Contract Agreement?,date,2023-05-22 00:00:00,2023-06-14,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer provides a different date than the gold answer.,,,,,,,mismatch,14th day of June in the year of 2023,['c00000']
Contract__3.pdf,Contract__3,What is the AIA Form of Contract Agreement?,identifier,Custom Contract,Guaranteed Maximum Price Construction Agreement Between the Owner and the General Contractor,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer does not match the gold answer. The gold answer specifies 'Custom Contract' while the predicted answer specifies a different type of agreement.,,,,,,,mismatch,Guaranteed Maximum Price Construction Agreement Between the Owner and the General Contractor,['c00039']
Contract__3.pdf,Contract__3,What are the are the Liquidated Damages Terms & Conditions?,long_text,"$2,000/day beyond the Substantial Completion date","The Owner will suffer substantial hardship and incur substantial damages if the Work is not completed on time, or if the Contractor fails to achieve Substantial Completion on or before the scheduled Substantial Completion date set forth above, as such date may be modified under the Contract Documents. The parties agree that such damages are difficult or impossible to determine with certainty, and therefore have in good faith estimated as fair compensation (and not as a penalty) the liquidated damages set forth below. If the Contractor fails to achieve Substantial Completion on or before the scheduled date set forth above, as such date may be modified in accordance with the Contract Documents, the Contractor shall pay the Owner liquidated damages, as fair compensation (and not as a penalty), in accordance with the following: $2,000 per day for each day beyond the Substantial Completion date. The assessment of liquidated damages shall be paid per calendar day until Substantial Completion shall be achieved. Liquidated damages shall be assessed cumulatively in accordance with the Contract Documents. Contractor hereby expressly agrees to waive its right to challenge the enforceability of this provision, and agrees that the liquidated damages amounts represent a reasonable measurement of damages, and not as a penalty, that Owner will sustain in the event of late performance. These liquidated damages are in lieu of Owner’s actual direct or consequential damages or losses as a result of Contractor's failure to achieve Substantial Completion of the Work. The Owner may deduct liquidated damages from any amounts due or to become due Contractor, or the Owner may require Contractor to pay any liquidated damages which exceed amounts due or to become due to Contractor within ten (10) days after Owner’s written request. Contractor waives and Owner is not required to comply with any other notice provisions in order to assess and/or deduct liquidated damages. Owner may assess and/or deduct the amount of liquidated damages by withholding the amount of the liquidated damages from the payment due to Contractor on any pay application(s) and paying that amount to itself.",descriptive_metrics,0.75,,0.9,partial,"The predicted answer captures the key term of $2,000/day beyond the Substantial Completion date but includes additional details not present in the gold answer. There is no contradiction.",,,,0.7,0.75,0.75,mismatch,"$2,000 per day for each day beyond the Substantial Completion date","['c00003', 'c00002']"
Contract__3.pdf,Contract__3,Is IMC or the Owner carrying the Builder's Risk Policy for this project?,enum,IMC,Owner,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer 'Owner' contradicts the gold answer 'IMC'.,,,,,,,mismatch,Builder’s Risk Insurance Policy maintained by the Owner.,"['c00310', 'c00170']"
Contract__3.pdf,Contract__3,What is the Builders Risk %?,percentage,CM 1% ; BR 0.35%,,categorical_accuracy,1.0,False,0.0,incorrect,"The predicted answer is missing, while the gold answer specifies the Builders Risk percentage as 0.35%.",,,,,,,mismatch,,[]
Contract__3.pdf,Contract__3,What is the Builders Risk Deductible? ($),currency,"CM $5,000/claim; BR $10,000 for all losses except flood, earthquake, and windstorm to be $25,000",10000,categorical_accuracy,0.5,False,0.0,partial,"The predicted answer captures only part of the Builders Risk Deductible. It misses the details about the different deductibles for flood, earthquake, and windstorm.",,,,,,,mismatch,"$10,000","['c00318', 'c00319']"
Contract__3.pdf,Contract__3,What is the Payment & Performance Bond Article #?,identifier,Exhibit J - Section 6 (Page 13),6,categorical_accuracy,0.5,False,0.0,partial,The predicted answer '6' is incomplete. The full identifier includes 'Exhibit J - Section 6 (Page 13)'.,,,,,,,mismatch,6,"['c00326', 'c00103']"
Contract__3.pdf,Contract__3,What are the Payment & Performance Bond Article Terms & Conditions?,long_text,Performance and Labor and Materials Bond (AIA 312) equal to 100% of Contract Price and amended by change orders if approved by owner and at the time of Contract award remaining in full effect through warranty and extended warranty periods.  Amount paid as cost of work is limited to premium evidenced on an invoice from surety.,"The Payment & Performance Bond Article Terms & Conditions are as follows: The Owner has the right to require the Contractor to furnish bonds that cover the Contractor’s faithful performance of the Contract and payment of obligations arising thereunder. Upon request of the Owner, the Contractor must purchase and maintain a Performance and Labor and Materials Bond executed by a Surety with a minimum rating of A.M. Best A, in favor of the Owner, on a standard AIA bond form, A312. This bond must be in an amount equal to 100% of the Contract Price and must remain in full force and effect through the warranty and extended warranty periods. The Contractor must promptly furnish a copy of the bonds to any potential beneficiary upon request. Any defaults or claims in excess of the limits of bonds provided or SDI purchased must be paid by the General Contractor without an increase to the GMP. The Contractor must pay all costs arising from a Subcontractor’s default if the limits are exhausted and must indemnify the Owner from all claims arising from such defaults.",descriptive_metrics,0.75,,0.9,partial,"The predicted answer captures most of the important content from the gold answer, including the requirement for a Performance and Labor and Materials Bond equal to 100% of the Contract Price and its duration through warranty periods. However, it includes additional details not present in the gold answer and misses the specific mention of the cost of work being limited to the premium evidenced on an invoice from the surety.",,,,0.7,0.75,0.75,mismatch,"The Owner has the right to require the Contractor to furnish bonds that cover the Contractor’s faithful performance of the Contract and payment of obligations arising thereunder. Upon request of the Owner, the Contractor must purchase and maintain a Performance and Labor and Materials Bond executed by a Surety with a minimum rating of A.M. Best A, in favor of the Owner, on a standard AIA bond form, A312. This bond must be in an amount equal to 100% of the Contract Price and must remain in full force and effect through the warranty and extended warranty periods. The Contractor must promptly furnish a copy of the bonds to any potential beneficiary upon request. Any defaults or claims in excess of the limits of bonds provided or SDI purchased must be paid by the General Contractor without an increase to the GMP. The Contractor must pay all costs arising from a Subcontractor’s default if the limits are exhausted and must indemnify the Owner from all claims arising from such defaults.","['c00326', 'c00117']"
Contract__3.pdf,Contract__3,What is the Contract Documents Definition & Incorporation Article #?,identifier,General Conditions of GMP - 1.1.1,14,categorical_accuracy,1.0,False,0.0,incorrect,The predicted answer '14' does not match the gold answer 'General Conditions of GMP - 1.1.1' and does not convey the same meaning.,,,,,,,mismatch,ARTICLE 14,['c00035']
Contract__3.pdf,Contract__3,"What are the Contract Documents Definition & Incorporation Definitions, Terms, & Conditions?",long_text,"Contract Documents:
- Agreement
- General Conditions of the Contract
- Supplemental and other Conditions
- Amendments
- Drawings
- Specifications
- Addenda issued prior to execution of Agreement
- other documents listed in Agreement
- Modifications/Change Orders issued after execution of Agreement (written amendment signed by both parties, Change Order, Construction Change Directive, Written order for a minor change in teh Work issued by Owner, ASI signed by both Owner and Architect",,descriptive_metrics,0.0,,0.0,incorrect,No predicted answer provided.,,,,0.0,0.0,0.0,mismatch,,[]
